CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKM&MFIN24-FEB-2022,161.5500000,163.1000000,168.7000000,161.1000000,167.6500000,167.6500000,3.7700000,7864.0000000,18456000.0000000,4614.0000000,3053442800.0000000
FUTSTKIDFCFIRSTB31-MAR-2022,47.2000000,47.9000000,48.0000000,46.9500000,47.8500000,47.8500000,1.3700000,619.0000000,1287600.0000000,116.0000000,61412415.0000000
FUTSTKICICIGI24-FEB-2022,1374.3500000,1379.1500000,1404.8500000,1371.9500000,1374.8000000,1374.8000000,0.0300000,6921.0000000,717825.0000000,1689.0000000,995334147.5000000
FUTSTKM&MFIN28-APR-2022,163.2000000,163.7500000,169.0000000,163.7500000,168.8000000,168.8000000,3.4300000,14.0000000,20000.0000000,5.0000000,3358200.0000000
FUTSTKIDFCFIRSTB28-APR-2022,47.2500000,47.5500000,48.0500000,47.5500000,48.0500000,48.0500000,1.6900000,20.0000000,210900.0000000,19.0000000,10104885.0000000
FUTSTKIDFCFIRSTB24-FEB-2022,46.9500000,47.2500000,47.9000000,46.7000000,47.7000000,47.7000000,1.5900000,13897.0000000,36496800.0000000,3288.0000000,1732777710.0000000
FUTSTKSAIL31-MAR-2022,98.0000000,98.6500000,103.5500000,97.6500000,102.8000000,102.8000000,4.8900000,1462.0000000,3966250.0000000,835.0000000,396423362.5000000
FUTSTKHAVELLS28-APR-2022,1196.2500000,1196.2500000,1200.0000000,1196.0000000,1200.0000000,1199.6500000,0.2800000,5.0000000,1500.0000000,3.0000000,1796125.0000000
FUTSTKTATACOMM24-FEB-2022,1286.2000000,1300.0000000,1315.0000000,1272.1500000,1307.0500000,1307.0500000,1.6200000,8309.0000000,671600.0000000,1679.0000000,871519980.0000000
FUTSTKHAVELLS24-FEB-2022,1185.9000000,1197.6500000,1198.9500000,1172.0500000,1193.2000000,1193.2000000,0.6100000,8657.0000000,1275000.0000000,2550.0000000,1511324350.0000000
FUTIDXNIFTY24-FEB-2022,17361.9500000,17524.9500000,17634.0000000,17231.2500000,17589.0000000,17589.0000000,1.3000000,194502.0000000,18647450.0000000,372949.0000000,326667637332.5000000
FUTSTKSRF28-APR-2022,2431.0000000,2414.7000000,2432.5500000,2411.6000000,2432.5500000,2471.5000000,1.6600000,9.0000000,1125.0000000,3.0000000,2722068.7500000
FUTSTKNAVINFLUOR31-MAR-2022,3905.9500000,4130.3500000,4296.5500000,3881.0000000,4242.4000000,4242.4000000,8.6100000,55.0000000,39600.0000000,176.0000000,163346726.2500000
FUTSTKNAVINFLUOR24-FEB-2022,3907.7000000,4043.3500000,4341.7000000,3883.4000000,4252.5000000,4252.5000000,8.8200000,2190.0000000,1189350.0000000,5286.0000000,4900899903.7500000
FUTSTKBHEL31-MAR-2022,58.4500000,58.6000000,61.2000000,58.3500000,60.3500000,60.3500000,3.2500000,541.0000000,2656500.0000000,253.0000000,157974075.0000000
FUTSTKCOLPAL31-MAR-2022,1429.8500000,1433.3500000,1438.9500000,1422.8000000,1434.5500000,1434.5500000,0.3200000,500.0000000,28000.0000000,80.0000000,40141920.0000000
FUTSTKBHEL24-FEB-2022,58.3000000,58.3000000,61.1000000,58.0000000,60.1000000,60.1000000,3.0800000,12003.0000000,73909500.0000000,7039.0000000,4387967850.0000000
FUTSTKNAVINFLUOR28-APR-2022,3973.9500000,4100.0000000,4254.6500000,3980.0000000,4254.6500000,4254.6500000,7.0600000,7.0000000,2025.0000000,9.0000000,8249141.2500000
FUTSTKBHEL28-APR-2022,58.6000000,58.9000000,61.2000000,58.6000000,60.4500000,60.4500000,3.1500000,60.0000000,325500.0000000,31.0000000,19434450.0000000
FUTSTKCOLPAL24-FEB-2022,1427.9500000,1433.2500000,1438.4500000,1422.0000000,1432.5500000,1432.5500000,0.3200000,7900.0000000,480900.0000000,1374.0000000,688676677.5000000
FUTSTKCOLPAL28-APR-2022,1435.0500000,1440.5500000,1442.0000000,1440.0000000,1442.0000000,1444.5000000,0.6500000,12.0000000,1050.0000000,3.0000000,1512892.5000000
FUTSTKCADILAHC24-FEB-2022,407.0000000,410.1500000,412.8500000,406.6500000,408.5500000,408.5500000,0.3800000,17238.0000000,2823700.0000000,2567.0000000,1156076295.0000000
FUTSTKABB28-APR-2022,2324.2000000,0.0000000,0.0000000,0.0000000,,2309.9000000,-0.6100000,0.0000000,0.0000000,0.0000000,0.0000000
FUTSTKLICHSGFIN24-FEB-2022,386.9000000,390.0500000,397.6000000,381.5500000,389.0000000,389.0000000,0.5400000,10305.0000000,13458000.0000000,6729.0000000,5257232800.0000000
FUTSTKINTELLECT28-APR-2022,775.8500000,785.7000000,785.7000000,785.7000000,785.7000000,773.8500000,-0.2500000,6.0000000,750.0000000,1.0000000,589275.0000000
FUTSTKINTELLECT31-MAR-2022,773.3500000,780.0000000,780.0000000,767.9000000,770.0000000,771.3500000,-0.2500000,11.0000000,7500.0000000,10.0000000,5794237.5000000
FUTSTKJUBLFOOD31-MAR-2022,3409.7000000,3410.0000000,3469.1000000,3392.9000000,3462.0000000,3462.0000000,1.5300000,179.0000000,11875.0000000,95.0000000,40707668.7500000
